"id_discente";"ano";"periodo";"renda";"escola_ens_medio";"possui_bolsa_pesquisa";"possui_auxilio_alimentacao";"possui_auxilio_transporte";"possui_auxilio_residencia_moradia"
"94ebd644937bbec31c79e79c18d44295";"2017";"2";"500";"Todo em escola publica ";"f";"f";"t";"f"
"4d555d6381ba88dc21dd100efa646b22";"2017";"2";"1049";"Todo em escola publica ";"f";"f";"f";"f"
"ade8062f4208bbe15d635bbe9f02231d";"2017";"2";"1200";"Todo em escola publica ";"f";"f";"f";"f"
"acb873641028d140e48d2b100aa0cc8e";"2017";"2";"937";"Todo em escola publica ";"f";"f";"f";"f"
"a3f8a9c4e971fa0f68c8a108c62d8e67";"2017";"2";"2193";"Todo em escola publica ";"f";"f";"t";"f"
"893b382569f9352fe3cb37c7b61b711e";"2017";"2";"600";"Todo em escola publica ";"f";"t";"f";"t"
"c8f45f0eb820ad5fa6ba9943869448b3";"2017";"2";"4000";"Todo em escola particular ";"f";"f";"f";"f"
"b98d2fa24312158446090006ab1ee40b";"2017";"2";"3300";"Todo em escola particular ";"f";"t";"f";"f"
"c27988cddebd7f9be07d0251dcc42870";"2017";"2";"800";"Todo em escola publica ";"f";"t";"f";"t"
"2ebde844fd2441c7d5bd9ae3da3b0a13";"2017";"2";"650";"Em escola Particular, com bolsa ";"f";"t";"f";"f"
"494f7f6a47659e0d270f70b782baae05";"2017";"2";"1800";"Outro tipo de escola ";"f";"t";"f";"f"
"51b07d164acba6951c311118de247ae3";"2017";"2";"4500";"Todo em escola particular ";"f";"f";"f";"f"
"2c09fd41454b2a0b6f6a19c77beccbfd";"2017";"2";"1900";"Todo em escola particular ";"f";"f";"f";"f"
"a6c466acd4174a5846d873450fae4b32";"2017";"2";"15000";"Todo em escola particular ";"f";"f";"f";"f"
"bcaf57766d7d60e124776bba5240e4ab";"2017";"2";"880";"Todo em escola publica ";"f";"t";"f";"t"
"151dc4d6d4f7a662f079425daefdcb0a";"2017";"2";"1600";"Todo em escola publica ";"f";"t";"f";"f"
"8232887b8a0be0e2bf1b0cfcb38d7540";"2017";"2";"800";"Todo em escola publica ";"t";"t";"f";"t"
"fd0c76b59b7ee42c4443c044c4c00575";"2017";"2";"2100";"Todo em escola publica ";"f";"f";"f";"f"
"021098878b809839054e35fa6859eaee";"2017";"2";"1874";"Todo em escola particular ";"f";"f";"f";"f"
"b3ff14203e50d557776d7cd403ef761f";"2017";"2";"4000";"Em escola Particular, com bolsa ";"f";"f";"f";"f"
"78efa1eade06401f716d278d2f34d099";"2017";"2";"5500";"Todo em escola particular ";"f";"t";"f";"f"
"5b8cd569411bb7aece13740c99aa44c1";"2017";"2";"5034";"Todo em escola particular ";"f";"t";"f";"f"
"1dafbbf7aef4ea3c8978b1413e0dac9a";"2017";"2";"2500";"Todo em escola particular ";"f";"f";"f";"f"
"944ca9502d16c0b129eafb662c78e434";"2017";"2";"1200";"Em escola Particular, com bolsa ";"f";"f";"f";"f"
"7536afc81b716066ce28d46f55639724";"2017";"2";"1500";"Todo em escola publica ";"f";"f";"f";"f"
"4076088d9a236971d2c54f81b5a9e9ac";"2017";"2";"8000";"Todo em escola publica ";"f";"f";"f";"f"
"9ebf887857d9bf99fce8e72208d934d3";"2017";"2";"1448";"Todo em escola publica ";"f";"f";"t";"f"
"6d27d0ce60638b018d1e4c39f9aa2ab7";"2017";"2";"1900";"Parte em escola pública parte em escola particular ";"f";"t";"f";"t"
