"id_discente";"ano";"periodo";"renda";"escola_ens_medio";"possui_bolsa_pesquisa";"possui_auxilio_alimentacao";"possui_auxilio_transporte";"possui_auxilio_residencia_moradia"
"6952a521035c2f6f0f60bcf45707eff7";"2011";"1";"";"";"f";"f";"f";"f"
"487ab499c2dc785b02f049f4d81296f2";"2011";"1";"";"";"f";"f";"f";"f"
"ea1613547b34f27383a991ddfcf990a4";"2011";"1";"";"";"f";"f";"f";"f"
"e3bd0b8cae995ed0ebc4083591c19b88";"2011";"1";"";"";"f";"f";"t";"f"
"2bd673d67fb7172d5a6a5fcca2ef0e9c";"2011";"1";"";"";"f";"t";"f";"t"
"1fdab816966769aa1a5e5da0b817f8da";"2011";"1";"";"";"f";"f";"f";"f"
"3fc8d433477909283fabad04e0be9c34";"2011";"1";"";"";"f";"f";"f";"f"
"787e8e96552ee479553d244994f6b159";"2011";"1";"";"";"f";"f";"f";"f"
"63bec5f99e55670f7ddcbe1c4d5d9bc0";"2011";"1";"";"";"f";"f";"f";"f"
"ebfcc219323d83267acd149b10891135";"2011";"1";"";"";"f";"f";"f";"f"
"da43b7f361de4e9411f7e9b818a158df";"2011";"1";"";"";"f";"f";"f";"f"
"5559f18929ccfbc19933084cdfcfa1ed";"2011";"1";"";"";"t";"f";"f";"f"
"ae75747257b213ed569e35cd7b68a3b8";"2011";"1";"";"";"t";"f";"f";"f"
"32707ba930fe5802273ca67674a7f23e";"2011";"1";"";"";"f";"f";"f";"f"
"6ce82d5e1ae77f6fec80d7d51c4ce104";"2011";"1";"";"";"f";"f";"f";"f"
"99f9e4f12bc9ddc08c070577763f9725";"2011";"1";"";"";"f";"f";"t";"f"
"e38f078b7523eaa1c41cc63f0ea48bf9";"2011";"1";"";"";"f";"f";"f";"f"
"1beefe5bfb10cbea32bc4a3cdcc13f03";"2011";"1";"";"";"f";"f";"f";"f"
"59a644283225f535c9911197b6fe62c2";"2011";"1";"";"";"f";"f";"f";"f"
"be215de88fa0ccfaf1147e225539fe56";"2011";"1";"";"";"f";"f";"f";"f"
"0c83304d176184b48179244800163684";"2011";"1";"";"";"f";"f";"f";"f"
"403111afc2849859692cdbc91ad336e0";"2011";"1";"";"";"f";"f";"t";"f"
"dd6e293bdb73d9e54d40a65216f4e80d";"2011";"1";"";"";"f";"t";"f";"f"
"44adc0ab2ecdd67961e6881b7f0c71be";"2011";"1";"";"";"f";"f";"f";"f"
"c3d3deebb9292093dedadbcd4509335c";"2011";"1";"";"";"f";"f";"f";"f"
"87dfb9f23c9f08039576137940c5f2bf";"2011";"1";"";"";"f";"f";"f";"f"
"f0248d7faac0cc8e5cd2ab33cd3c0f93";"2011";"1";"";"";"f";"t";"f";"t"
"2053cb391c1c5b9e78381aafb93e5309";"2011";"1";"";"";"f";"f";"f";"f"
"5a28b9790c9df3c837349dd8e35a440d";"2011";"1";"";"";"f";"f";"f";"f"
"3f40c6f2198fdbe329cbf87c123c6739";"2011";"1";"";"";"f";"f";"f";"f"
"d7d2375ee77809289ec14eba9ff5d1be";"2011";"1";"";"";"t";"f";"f";"f"
"1f7cf9d4e395f426949045b6c9f3df58";"2011";"1";"";"";"f";"f";"t";"f"
"aa65d65ab8093c3599eaf3faa090808c";"2011";"1";"";"";"f";"f";"f";"f"
"e1d7798dd07be283ca53ca828118e9ec";"2011";"1";"";"";"f";"f";"f";"f"
"33e8a35eac59d81840f07bfb0f9e4726";"2011";"1";"";"";"f";"f";"f";"f"
"93cf6f9849f1cb3544c5556fbc2c1254";"2011";"1";"";"";"f";"f";"f";"f"
"6555e5e07d89e69a7d4f2f5d2b559f8e";"2011";"1";"";"";"f";"t";"f";"t"
"5419d2602799638109b8cdca6eadaafd";"2011";"1";"";"";"f";"f";"f";"f"
"c6945bc187feb5819d33dab1a2c8d883";"2011";"1";"";"";"f";"t";"f";"f"
"dd03c94217a546aca9e239e97c365a51";"2011";"1";"";"";"f";"t";"f";"t"
"3d97184ac73b5642ac4cdfc30cb4f405";"2011";"1";"";"";"f";"f";"f";"f"
"efefdc40ed520ae1b9bbcbe35caf10e4";"2011";"1";"";"";"f";"f";"f";"f"
"4be4eaf5f56dab8f5f9450f5788a61dd";"2011";"1";"";"";"f";"f";"f";"f"
"98d1c06d6fcece1701860253178099f4";"2011";"1";"";"";"f";"f";"f";"f"
"600dd919ca4721f395da8d9bf95b628d";"2011";"1";"";"";"f";"f";"f";"f"
"9de64612dfe6cfea40266b5bec9355b9";"2011";"1";"";"";"f";"t";"f";"t"
"7e263b9812163b338872e0a511c90404";"2011";"1";"";"";"f";"f";"f";"f"
"13f67f864384bc69083b2f2eb2424a47";"2011";"1";"";"";"f";"f";"t";"f"
