"id_discente";"ano";"periodo";"renda";"escola_ens_medio";"possui_bolsa_pesquisa";"possui_auxilio_alimentacao";"possui_auxilio_transporte";"possui_auxilio_residencia_moradia"
"6aab19875d7ed84aefa0b3a269b7ca99";"2014";"2";"6000";"Todo em escola particular ";"f";"f";"f";"f"
"9a0ad5968e94ee1728be7f1a99c60541";"2014";"2";"678";"Todo em escola publica ";"f";"f";"f";"f"
"fecdd7b3f460b61a217afaf5768c4615";"2014";"2";"3200";"Todo em escola publica ";"f";"f";"f";"f"
"ec222684098020516d713759157cca9f";"2014";"2";"796";"Todo em escola publica ";"f";"f";"f";"f"
"575aa56425161da6e857a43cc9349372";"2014";"2";"7400";"Todo em escola particular ";"f";"f";"f";"f"
"2339a084ae48a3bb91630f2d3475be6d";"2014";"2";"12000";"Todo em escola particular ";"f";"f";"f";"f"
"d07a4404bc2dc2c8256e52a328c5c4a4";"2014";"2";"2950";"Todo em escola publica ";"f";"f";"f";"f"
"1a7cb036feac75b06f33ca79662d3a05";"2014";"2";"2000";"Todo em escola particular ";"f";"f";"t";"f"
"7e5acbd6525e405b22db831fdfe61451";"2014";"2";"600";"Todo em escola publica ";"f";"f";"f";"f"
"9c4690e4b2c05728ae4f7a758a90eb35";"2014";"2";"820";"Todo em escola publica ";"f";"t";"f";"f"
"c1d6765221da5a9e653fc9830d48a6a4";"2014";"2";"2000";"Todo em escola publica ";"f";"f";"f";"f"
"3ecddfb06eb8194b697fa2c3e35ec673";"2014";"2";"1000";"Em escola Particular, com bolsa ";"f";"f";"f";"f"
"7eaa66f3c49e9750a73b1a2030d6a6bb";"2014";"2";"2000";"Todo em escola publica ";"f";"t";"f";"t"
"c7de1d8dd2f76e1f3bc4f10d8516730d";"2014";"2";"5319";"Em escola Particular, com bolsa ";"f";"f";"f";"f"
"adbf76706990d47dd4ccbb7e987f0a21";"2014";"2";"1800";"Todo em escola publica ";"f";"t";"f";"t"
"c21ed266aed2444e14fa02e542df9252";"2014";"2";"160000";"Todo em escola publica ";"f";"f";"f";"f"
"b77b1c8b5f156dd82fd1a76271cf2e4f";"2014";"2";"724";"Todo em escola publica ";"f";"f";"t";"f"
"3d4a845f65bf7873f8ba9f7211a83f9a";"2014";"2";"2500";"Todo em escola publica ";"f";"f";"f";"f"
"b6ad635e06b4b6fab826e1bec50c3a34";"2014";"2";"1800";"Todo em escola publica ";"f";"t";"f";"t"
"b5c811a82bb03aacd5a1df16791c6016";"2014";"2";"724";"Todo em escola publica ";"f";"t";"f";"f"
"ee42236c0c70aed13ca0463b1fbc75f0";"2014";"2";"960";"Todo em escola publica ";"f";"f";"f";"f"
"6160e91dfeff59f8a49b9d0e910487f5";"2014";"2";"1000";"Todo em escola publica ";"f";"t";"f";"f"
"e9d8b6d0ad48806091ee504a365b1751";"2014";"2";"2000";"Todo em escola particular ";"f";"f";"f";"f"
"6c2a9e9087b017f82f3d50f11ce276be";"2014";"2";"1356";"Todo em escola particular ";"f";"t";"f";"t"
"8097378e3510f88cd0f1210202a1298b";"2014";"2";"1500";"Todo em escola particular ";"f";"f";"f";"f"
