"id_discente";"ano";"periodo";"renda";"escola_ens_medio";"possui_bolsa_pesquisa";"possui_auxilio_alimentacao";"possui_auxilio_transporte";"possui_auxilio_residencia_moradia"
"033a48794bfae0273d247f2931cda558";"2013";"1";"";"";"f";"f";"f";"f"
"0d5222e9af010d09314fff305fd8aeff";"2013";"1";"";"";"f";"f";"f";"f"
"13f6cfdf351e6ee734d2dd565a280969";"2013";"1";"";"";"f";"f";"f";"f"
"ed25a3afccda7d1253938f06e7952c9f";"2013";"1";"";"";"f";"f";"f";"f"
"2604ffec4ed66201822e95291441fb5d";"2013";"1";"";"";"f";"t";"f";"f"
"368296cdda309a5aa6a3027396a7f728";"2013";"1";"";"";"f";"t";"f";"f"
"b47cc5eb6da9ae7d4deb2a627980ac65";"2013";"1";"";"";"f";"t";"f";"t"
"b62b8134c2a68c108d674a3e1e063d67";"2013";"1";"";"";"f";"f";"f";"f"
"acc1ee0977cf094672737355b898938a";"2013";"1";"";"";"f";"t";"f";"f"
"7701c968659fb1a8e21a6dd325ac0083";"2013";"1";"";"";"f";"f";"f";"f"
"4e9f2e054ad183dcf00d9c59ec8d2485";"2013";"1";"";"";"f";"f";"f";"f"
"9c5d83aa3859917dbc761463dce3986f";"2013";"1";"";"";"f";"f";"f";"f"
"131869213d34b381b1c2dd57341d929f";"2013";"1";"";"";"f";"f";"f";"f"
"7d5ecc11c05e7dc62ba33e650aa0f4c0";"2013";"1";"";"";"f";"f";"f";"f"
"8a986caec7d7928296ac096b3d7c18bf";"2013";"1";"";"";"f";"f";"f";"f"
"2293816f5688c5f6b9330d7b99bf7b0e";"2013";"1";"";"";"f";"t";"f";"f"
"06b8b667bd05e11b6afc267655f773e0";"2013";"1";"";"";"f";"f";"f";"f"
"51332d38e491150cac8735aa2eb9dd7e";"2013";"1";"";"";"f";"f";"t";"f"
"0ad4fcbf917971bee3080a9a0a7e09a8";"2013";"1";"";"";"f";"t";"f";"f"
"9b51b21f74b7cc70422e2e0d46462c4d";"2013";"1";"";"";"f";"f";"f";"f"
"a589215bf1b19e3a4c03ae8d554cb3af";"2013";"1";"";"";"f";"f";"f";"f"
"acd7ecf001f84c050feefc32c39bf622";"2013";"1";"";"";"f";"f";"f";"f"
"8b0148800cbf40cde03407123deca710";"2013";"1";"";"";"f";"f";"f";"f"
"0cc050fe0c30411c3f0c5e23899bb24e";"2013";"1";"";"";"f";"f";"f";"f"
