"id_discente";"ano";"periodo";"renda";"escola_ens_medio";"possui_bolsa_pesquisa";"possui_auxilio_alimentacao";"possui_auxilio_transporte";"possui_auxilio_residencia_moradia"
"3a8fa351255ad4fc7bfa2afc6b48f5d1";"2012";"2";"";"";"t";"f";"f";"f"
"a3c1f34986258a811748803c80d9df5a";"2012";"2";"";"";"f";"f";"f";"f"
"877f5dbc1a4fdc316b010b547d3e247c";"2012";"2";"";"";"f";"f";"f";"f"
"518b75584c89d6072d71cb2dcc8f3e3e";"2012";"2";"";"";"f";"t";"f";"f"
"d021e3df2721081a7508eeadd69ffcc0";"2012";"2";"";"";"f";"f";"t";"f"
"2dc70b92fcb4868c4c441f2af225c3f6";"2012";"2";"";"";"f";"f";"f";"f"
"98579ca0f46b4995b4492590178c21ab";"2012";"2";"";"";"f";"f";"t";"f"
"396263f3519fd6d1c1c26037209786f3";"2012";"2";"";"";"f";"f";"f";"f"
"73bd8b97e0282660fd45ede3d8076ac6";"2012";"2";"";"";"f";"f";"t";"f"
"a25a7a1c33dc8f0ae48a57df2f173260";"2012";"2";"";"";"f";"f";"f";"f"
"daa75f8f0e26aedfa968f0097459406c";"2012";"2";"";"";"f";"f";"f";"f"
"15d2394dd4cb7f35302ebb764b8bd866";"2012";"2";"";"";"f";"f";"t";"f"
"334fcda3bbb55364c8af8b8ca2ddea9f";"2012";"2";"";"";"f";"f";"f";"f"
"ae2781bea6929c81a146d56bb8f88bdd";"2012";"2";"";"";"f";"f";"f";"f"
"82ea93961c80023584d0b1abf7799c90";"2012";"2";"";"";"f";"f";"f";"f"
"455b651da843f8006877e1d3f6a297ee";"2012";"2";"";"";"f";"t";"f";"f"
"39e3577f88b7fbdbbdad59ea4c3fa963";"2012";"2";"";"";"f";"f";"f";"f"
"becaacef1c6eaa724c6c2b195c259e96";"2012";"2";"";"";"f";"t";"f";"t"
"4be25ea2572b1dc078e3c2ae189327cf";"2012";"2";"";"";"f";"t";"f";"t"
"364a5587259062caa6a87445ac3bfba5";"2012";"2";"";"";"f";"f";"f";"f"
"c5c689763306c2292c4e178b5b74ff2c";"2012";"2";"";"";"f";"t";"f";"t"
"b0085ab97905bd16a8be46f53c17e1ae";"2012";"2";"";"";"f";"f";"f";"f"
"95b0b5e91f0d972f2f90fae41f2b403f";"2012";"2";"";"";"f";"f";"f";"f"
"e594ba4c2760d0ae2100c89cef08ac23";"2012";"2";"";"";"f";"f";"f";"f"
"b5c6af64e54166dd5ef466d4a3900317";"2012";"2";"";"";"f";"f";"f";"f"
"635b4ba3330be6bb68f918b46cbc1da7";"2012";"2";"";"";"f";"f";"f";"f"
"f1a16ab91904778b6c6e590dc83e8a2d";"2012";"2";"";"";"f";"f";"f";"f"
"8e3f19f0eeb6d2cc8299e7fc4b681a4d";"2012";"2";"";"";"f";"f";"f";"f"
"fa2546cf928c246e14d1703d8bb65ba7";"2012";"2";"";"";"f";"f";"f";"f"
"805767a503db907e0913fa4f48e424b4";"2012";"2";"";"";"f";"t";"f";"t"
"3b01ae0004b400433dedea467b526adf";"2012";"2";"";"";"f";"f";"f";"f"
"232307c70a2c4c8ea67ad838d090c0f8";"2012";"2";"";"";"f";"f";"f";"f"
"e2902884377cde6fe1ec65807323f9b9";"2012";"2";"";"";"f";"f";"t";"f"
"8dc3f79552ff98140342f7bfcd9c96dc";"2012";"2";"";"";"f";"f";"f";"f"
"4c05f58f70b4adbdd9e8657bfd48f545";"2012";"2";"";"";"f";"f";"f";"f"
"e6be76b66af41bcde0cae72ab44e1375";"2012";"2";"";"";"f";"f";"f";"f"
"56c92cfded98752d55b91ad43dab9007";"2012";"2";"";"";"f";"f";"f";"f"
"5e18dd016146a8ea0124451b3e47f451";"2012";"2";"";"";"t";"f";"f";"f"
"f38bfce85a0685bc1d9e74e13901a7d3";"2012";"2";"";"";"t";"f";"f";"f"
"27474e763be9a0ca986130765a9358ce";"2012";"2";"";"";"f";"f";"f";"f"
"b9d459823fcd5dc2394bebf38cedb3c8";"2012";"2";"";"";"f";"t";"f";"f"
"d8903546fbce93046f0d61b9a94a6c0d";"2012";"2";"";"";"t";"f";"f";"f"
"29917ffcf03a1fc7bf4419163a47736a";"2012";"2";"";"";"f";"t";"f";"t"
"9ac01814a81957253a0a7280cac464cf";"2012";"2";"";"";"f";"f";"f";"f"
"0036de47fc75454d63218bc38a469489";"2012";"2";"";"";"f";"f";"f";"f"
"c270331a143f81ffa64b2cffd1c81a4e";"2012";"2";"";"";"f";"t";"f";"t"
"69dab9b1b59b73348d647bb645ebba0a";"2012";"2";"";"";"f";"f";"f";"f"
"52e557118ac6ea157c248ded664a46ab";"2012";"2";"";"";"f";"f";"f";"f"
"2086853a9cad9648a3386e8e4a766496";"2012";"2";"";"";"f";"f";"f";"f"
"af4977f119a6692742783d40f349dfad";"2012";"2";"";"";"f";"f";"f";"f"
"842bbb6fbb2dcc8d03813be19a62da47";"2012";"2";"";"";"f";"f";"f";"f"
"2aef492d29c81424efde4f1374efe1de";"2012";"2";"";"";"f";"f";"f";"f"
"af9bad51506f7d53bdeb93b03c6943bc";"2012";"2";"";"";"f";"f";"f";"f"
"906ac2d6d318ddfd0c27841fa00f2a80";"2012";"2";"";"";"t";"t";"f";"t"
"b4105a4370efe8c692aac0b5079f0ee1";"2012";"2";"";"";"f";"t";"f";"t"
"104e17b1adb14b01a5209507069bb9af";"2012";"2";"";"";"f";"f";"f";"f"
"2e2992b7abb02ed46ac50c015f5995f9";"2012";"2";"";"";"f";"t";"f";"t"
"49e5896cdb7cabb55144fa80d66a40f9";"2012";"2";"";"";"f";"t";"f";"f"
"f2e305c93212b309ca7e5f453b21f145";"2012";"2";"";"";"f";"f";"f";"f"
"e2fdb34d15ca7cf74c6f7005b78bbade";"2012";"2";"";"";"f";"f";"f";"f"
"0226c66942a2c0f776143f003dd1a9cf";"2012";"2";"";"";"f";"f";"f";"f"
"4decf3c08076a784315ffcc4f42c1bb3";"2012";"2";"";"";"f";"f";"t";"f"
"8d146fb07dddb6fac741a2149caa1536";"2012";"2";"";"";"f";"t";"f";"f"
"a364ac37644a0ea14442a59314b5472e";"2012";"2";"";"";"f";"f";"f";"f"
"a531b1bb19f9c8b4454fcb1035c92d89";"2012";"2";"";"";"f";"t";"f";"t"
"429bcabf77756a2bd27c998833281782";"2012";"2";"";"";"f";"f";"f";"f"
"6480147e50726adda2b762d420843c04";"2012";"2";"";"";"f";"t";"f";"t"
"4059e21e5a3306cdf9ab81d0f40c678a";"2012";"2";"";"";"f";"f";"f";"f"
"6572cd021a80e255c716cd4e85171e18";"2012";"2";"";"";"f";"t";"f";"t"
"8a49d2491d430c049f2eb3fb66c9fb9e";"2012";"2";"";"";"f";"f";"f";"f"
"86f048fc6ff0c5cb9b867292fcbbf63c";"2012";"2";"";"";"f";"f";"f";"f"
"8ad5bac4eb3cccf3ad21da4e404d055f";"2012";"2";"";"";"f";"f";"f";"f"
"33f2619a2a24a7f13b926512486fdd10";"2012";"2";"";"";"t";"f";"f";"f"
"503119d0cafc3efcb413c69252695362";"2012";"2";"";"";"f";"f";"f";"f"
"64f76e9c7c0bb9138d6f22a1760b4081";"2012";"2";"";"";"f";"f";"f";"f"
"1d635fd8d8014509a340dcb5e49b15fb";"2012";"2";"";"";"f";"f";"f";"f"
"96649273815b5f458b6b0519cdbb0739";"2012";"2";"";"";"f";"f";"f";"f"
"e2319c74408e95c955c54d2400bc957b";"2012";"2";"";"";"f";"f";"t";"f"
"807651b9ac075da6086874224f48f741";"2012";"2";"";"";"t";"f";"f";"f"
"944475bdd4edf27f1c977ac7f1e20a07";"2012";"2";"";"";"t";"f";"f";"f"
"42f0e8c139f5aae877a9b81d24e367cd";"2012";"2";"";"";"f";"f";"f";"f"
"1ec1481fd930ab729f58e3c80818e738";"2012";"2";"";"";"f";"f";"f";"f"
"11c6b2a7b3b6e1461a841913ee47385f";"2012";"2";"";"";"f";"f";"f";"f"
"2ae26b5619a637b7e6a09b36571e9854";"2012";"2";"";"";"f";"f";"f";"f"
"8492cbc22cb1f30353344ddc42924417";"2012";"2";"";"";"t";"f";"f";"f"
"1889393b793e11763cd960d440d20ba8";"2012";"2";"";"";"f";"f";"t";"f"
"f9a9d3e62dbaac5a9a9bf65508456ecf";"2012";"2";"";"";"f";"f";"f";"f"
"14315de5079a00f8eeb8c0a1f1d0fbac";"2012";"2";"";"";"f";"f";"f";"f"
"86fdfce2db3c40f0d3cff4914020ce48";"2012";"2";"";"";"f";"f";"f";"f"
"4ba48620c4ce1ce980551efb64ff405e";"2012";"2";"";"";"f";"f";"f";"f"
"bf4e58fa3fbf2b7cc148f09b9b70dec0";"2012";"2";"";"";"f";"f";"f";"f"
"bb65ad285fdcaa42411b5797383f8dc9";"2012";"2";"";"";"f";"t";"f";"t"
"91eb5ea0d5349e1bc42d57ef3031c798";"2012";"2";"";"";"f";"f";"t";"f"
"d8da1f841c0bd896f585d823e598a87b";"2012";"2";"";"";"f";"f";"f";"f"
"b71940d3f22722ce6720455ce4882199";"2012";"2";"";"";"f";"f";"f";"f"
"48bf2d792ae9fb94c5d68e7aa812f338";"2012";"2";"";"";"f";"f";"f";"f"
"34def15b505353aa74ade1c6746c3cbb";"2012";"2";"";"";"f";"f";"t";"f"
"100dd7f5ccc039f206ed4175227e56d3";"2012";"2";"";"";"f";"f";"f";"f"
"4d374ed748e94dc4b2ba7be6a024e56b";"2012";"2";"";"";"f";"t";"f";"f"
"fe5839d77bd779621e0f113ddfba917e";"2012";"2";"";"";"f";"t";"f";"t"
"d437df37b7631381ea9b2956f2878b83";"2012";"2";"";"";"f";"f";"t";"f"
"7c90fbb0ea27718c257dd82c830143bc";"2012";"2";"";"";"f";"f";"f";"f"
"f7701dcfbcc956c1d2e0186fabc77cd8";"2012";"2";"";"";"f";"t";"f";"t"
"e84cc0021e98f3e08d548c274052213e";"2012";"2";"";"";"t";"t";"f";"t"
"791b00771eef3a8a129ca5b2fd27b452";"2012";"2";"";"";"f";"t";"f";"f"
"a5af64c35172ba116b688f2e8dbc13b7";"2012";"2";"";"";"f";"f";"f";"f"
"9f23fda830f951cdf8362c4ad9632db4";"2012";"2";"";"";"t";"f";"f";"f"
"82d519bae7b5224153e53f5084658563";"2012";"2";"";"";"f";"t";"f";"t"
"23982be1062f55acb19f2f18122590d3";"2012";"2";"";"";"f";"f";"f";"f"
"a957f771bbf2083f2cbe93132245b4db";"2012";"2";"";"";"f";"t";"f";"f"
"925df2aa622c09e6b2b2ccc6aeac5c52";"2012";"2";"";"";"f";"f";"f";"f"
"4974e2a625586ddb4d881ce83ff21a94";"2012";"2";"";"";"f";"f";"f";"f"
"0ef299cf7ff58409e7e7b0ec75a33b31";"2012";"2";"";"";"f";"f";"t";"f"
"3babfd5ab231e724da9095a19c440ac4";"2012";"2";"";"";"f";"f";"f";"f"
"fd61ee550e97037983fd61ca9fe3efee";"2012";"2";"";"";"f";"f";"f";"f"
"b44c053eb0eef2af6ef3dc04f035bea4";"2012";"2";"";"";"f";"f";"f";"f"
"cc6c1ba5e52a9eaef9dbeb8f6ef8eb2b";"2012";"2";"";"";"f";"f";"f";"f"
"f809ab8dfe1f9fffa3e96c4e32e6baef";"2012";"2";"";"";"f";"f";"f";"f"
"03ad27969820a348be64f5ef203f5b18";"2012";"2";"";"";"f";"f";"f";"f"
"5e696ec91600af47e4c02d846c59697a";"2012";"2";"";"";"f";"f";"f";"f"
"e8dc9a7f45f965ea3ed09da4baea3ced";"2012";"2";"";"";"f";"f";"f";"f"
"4a5b02345e24e81fbfd2b321e4d7df6a";"2012";"2";"";"";"f";"t";"f";"t"
"bd51cb8a404067b3e23ed9ee01f57f77";"2012";"2";"";"";"f";"f";"f";"f"
"512fc7b5b5b98e4c73341bcb4a6b7091";"2012";"2";"";"";"t";"f";"f";"f"
"3b512570380e271a871735d36c4b9223";"2012";"2";"";"";"f";"t";"f";"t"
"3efcf4f7a498778533323e3861170973";"2012";"2";"";"";"f";"t";"f";"t"
"7de12adbb7c57d541362f80f2982866d";"2012";"2";"";"";"f";"t";"f";"t"
"80427a679064011ab854fcf31931f11e";"2012";"2";"";"";"f";"t";"f";"t"
"b6d258b61fd771031697d9523eeca06c";"2012";"2";"";"";"t";"f";"f";"f"
"86dcb934d2f005ead876e02619850a8c";"2012";"2";"";"";"t";"f";"f";"f"
"7fa1816cf82ce3689fa5e0526b5a055e";"2012";"2";"";"";"f";"t";"f";"t"
"04decd13117687c5bfd9953a0acae15c";"2012";"2";"";"";"t";"f";"f";"f"
"7ff9f17ac9e8838028eb35069abbb974";"2012";"2";"";"";"t";"f";"f";"f"
"4fc8cee36dc9712443b382f51ef3a9c3";"2012";"2";"";"";"f";"f";"f";"f"
"9fab2aeac6cf54a981dd04231b13f748";"2012";"2";"";"";"f";"f";"f";"f"
"2a4ef8eadb5c5a7db80e4a1dfae2c0a4";"2012";"2";"";"";"f";"f";"f";"f"
"4cf0dc64133dd565be7460933b83080e";"2012";"2";"";"";"f";"t";"f";"t"
"16033a1c421d968f8f86b94d1c1392d6";"2012";"2";"";"";"f";"f";"f";"f"
"4ee9629d7f4a3cc924f6b8907046b42c";"2012";"2";"";"";"f";"t";"f";"f"
"14e97c7d19b85a958a8486ed0ff641c7";"2012";"2";"";"";"f";"f";"f";"f"
"68cd432bc6c40797c7330cf61fa38179";"2012";"2";"";"";"f";"t";"f";"t"
"9fca5e5a38e0359cef6889b09a0d3874";"2012";"2";"";"";"f";"f";"f";"f"
"2bbfc3dffb2467a0dec7eee2f9e8d4ff";"2012";"2";"";"";"f";"f";"f";"f"
"8128179ab0fe0f6450f7a1a46cac7aaa";"2012";"2";"";"";"f";"t";"f";"t"
"e15875855804ecb7e284b8b205690039";"2012";"2";"";"";"f";"f";"f";"f"
"330c07f43c52667ce7fa212360f1120a";"2012";"2";"";"";"f";"t";"f";"f"
"1666363adafd70cb18ef59eacbbce907";"2012";"2";"";"";"f";"f";"f";"f"
"9bd5e41597ae8e888ecab301c559c216";"2012";"2";"";"";"f";"t";"f";"t"
"b57dfc755239b46c36f09a347c3305b9";"2012";"2";"";"";"f";"f";"f";"f"
"16ac9f503e6b664ac03b79a6bd71c2a6";"2012";"2";"";"";"f";"f";"f";"f"
"21e1803be87e2ba687aa72bd7baf8225";"2012";"2";"";"";"f";"f";"f";"f"
"cda44493e799bc7fa6ea1ff29f04d6e9";"2012";"2";"";"";"f";"t";"f";"t"
"dc152dbb19172faf9a4ef0115a45d3be";"2012";"2";"";"";"f";"f";"f";"f"
"c996bc3312044cd40d05b446ab4ab6fb";"2012";"2";"";"";"f";"f";"t";"f"
"5fd7d7ceb568867106001391ce348dd8";"2012";"2";"";"";"f";"f";"f";"f"
"b8562421d4c699ce746ef911cb2cb480";"2012";"2";"";"";"f";"f";"f";"f"
"9f089ba58cabb2d157d8c8b6ff0c0880";"2012";"2";"";"";"f";"f";"f";"f"
"22b8b1657784c6823c00810361476c9d";"2012";"2";"";"";"t";"f";"f";"f"
"319a716b95a2be4c44dcb984c8fa9f97";"2012";"2";"";"";"f";"t";"f";"t"
"4cca81cbca7591e055956c907bee602c";"2012";"2";"";"";"f";"f";"f";"f"
"f7228df297ccce7888056481818f670c";"2012";"2";"";"";"f";"f";"f";"f"
"c0105c4d89039dedba4dff59c0196232";"2012";"2";"";"";"f";"f";"f";"f"
"e78c39536933e40f46bac38aeac5f8ff";"2012";"2";"";"";"f";"f";"f";"f"
"59dd5b7a20dcf9630f449e8e6239a854";"2012";"2";"";"";"f";"f";"f";"f"
"ab629ff308008551f4fa51cfa4ab87c2";"2012";"2";"";"";"t";"f";"f";"f"
"1b020f8c1c3005f9f23a06c63d92a865";"2012";"2";"";"";"f";"f";"f";"f"
"eabe2e0f310dd83a49f47783f3fbcfdd";"2012";"2";"";"";"f";"f";"f";"f"
"8c2b888421fc5c484b1f6d1bac3f3c0b";"2012";"2";"";"";"f";"f";"f";"f"
"879ad4c43a80e1a7dd698ae51eb67ec0";"2012";"2";"";"";"t";"t";"f";"f"
"deabf4423810ccbcef72d9d2a7dfdb2e";"2012";"2";"";"";"f";"f";"f";"f"
"9d07135c49af6e98f6c1ea156336831a";"2012";"2";"";"";"t";"f";"f";"f"
"69be99c4241d786d8484719fac8df90a";"2012";"2";"";"";"f";"t";"f";"t"
"c83d1e64c6a675ad570760c5d6d623f3";"2012";"2";"";"";"t";"f";"f";"f"
"fbc8af2e02428176ea9d843b1b7c7599";"2012";"2";"";"";"f";"f";"f";"f"
"b8897c261d167cf61a49dd37c6ff494d";"2012";"2";"";"";"f";"f";"f";"f"
"7222a2efb1bab76e2761eb03fca26bab";"2012";"2";"";"";"f";"f";"f";"f"
"4474110e6f062be69d02789d744a6887";"2012";"2";"";"";"f";"f";"f";"f"
"cf881966f043b0d824a4e9e5eeef46cf";"2012";"2";"";"";"f";"t";"f";"t"
"4124c01a0ef633d9274bd24b0331c1c5";"2012";"2";"";"";"f";"f";"f";"f"
"1748cd530997dd0c60bd3234e49995b5";"2012";"2";"";"";"f";"f";"f";"f"
"4b7d6d61386c6927228b661a6165fb7b";"2012";"2";"";"";"f";"f";"f";"f"
"d53971e747f387dd9733da21ae297ed3";"2012";"2";"";"";"t";"f";"f";"f"
"322b4e863b39024edc67b006a1f62733";"2012";"2";"";"";"f";"f";"f";"f"
"6b660dd7aa936cd51688c31293966a05";"2012";"2";"";"";"f";"f";"f";"f"
"0b4fc8d3b9b1e66430bc62930c4ed682";"2012";"2";"";"";"f";"f";"f";"f"
"88857f3551d9f1253fe6790d61ce27d7";"2012";"2";"";"";"f";"t";"f";"t"
"cbe364c8a810387e380ae7c80da3e904";"2012";"2";"";"";"f";"f";"f";"f"
"a2c7901a3c935f019979edbbef79a0b4";"2012";"2";"";"";"f";"f";"f";"f"
"f87278bcc9cfeaaae7fa751bc63c4e97";"2012";"2";"";"";"f";"f";"f";"f"
"00fd5ab7e5f3bf9dc68f2fee7828c544";"2012";"2";"";"";"f";"f";"f";"f"
"1afc4770d0f8ba38d58b9ee6a94b1d3f";"2012";"2";"";"";"f";"f";"f";"f"
"d80db92a472499ff78e40f09646a2f0b";"2012";"2";"";"";"f";"f";"f";"f"
"94ca9971e73da2f653f65e129e6ec067";"2012";"2";"";"";"t";"t";"f";"t"
"35f6e167f9354dde2f6e8472dd444900";"2012";"2";"";"";"f";"t";"f";"t"
"28e05a9cdf74eaf90323c1b4d5f2416f";"2012";"2";"";"";"f";"f";"t";"f"
"96f5d52240e45a68c094636081a34f1e";"2012";"2";"";"";"t";"f";"f";"f"
"47798bd4a87187c170ea8db68440841c";"2012";"2";"";"";"f";"t";"f";"f"
"d770451272acda4139346303392cd8cb";"2012";"2";"";"";"f";"f";"f";"f"
"209598cec124ead249f9edd9db06d741";"2012";"2";"";"";"f";"f";"f";"f"
"2f139a0967f2dc4f9ce10af05e24a6ea";"2012";"2";"";"";"f";"t";"f";"t"
"317d785f6a0e8cc0f46ceecbe49affd9";"2012";"2";"";"";"f";"t";"f";"t"
"c311b77b1c8b9c2bbb70e53bb7ce555b";"2012";"2";"";"";"f";"f";"f";"f"
"1a7915b5d052b90b2e4a8f2bb8fc7d43";"2012";"2";"";"";"f";"f";"f";"f"
"3702985285f6b6a9781404c66151e441";"2012";"2";"";"";"f";"f";"f";"f"
"320d1698ba029a6e455901d9504681ac";"2012";"2";"";"";"f";"f";"t";"f"
"c677f78d0da0bd2d801d8b2925084457";"2012";"2";"";"";"t";"f";"f";"f"
"a4ec4c13e893c4e9dbe21deeed1954fc";"2012";"2";"";"";"f";"f";"f";"f"
"b7bba88629f0fd35e239e78be791748b";"2012";"2";"";"";"f";"f";"t";"f"
"e1aebb97d56811a2d9369e4fbb113aae";"2012";"2";"";"";"f";"t";"f";"t"
"f5e40e9cb43b4d554c650c126925fbb7";"2012";"2";"";"";"f";"f";"f";"f"
"446184ffc235317ccf286781116e801a";"2012";"2";"";"";"f";"f";"f";"f"
"c4e5f8e1633ca5665a24d5267673f58c";"2012";"2";"";"";"f";"f";"f";"f"
"11da5245caa3867bb7563fbc0391ba27";"2012";"2";"";"";"f";"f";"f";"f"
